,PERIODO,DEPARTAMENTO_META_NOMBRE,MONTO_DEVENGADO_CONVENCIONAL,NUMERO_PROYECTO_CONVENCIONAL,MONTO_DEVENGADO_RENOVABLE,NUMERO_PROYECTO_RENOVABLE,INDICADOR_1
91,2017,PIURA,8870976.8,256,0.0,0.0,0.0
92,2017,PUNO,9194500.52,119,0.0,0.0,0.0
93,2017,SAN MARTIN,3365579.68,80,0.0,0.0,0.0
94,2017,TACNA,1394415.62,91,0.0,0.0,0.0
95,2017,TUMBES,1681126.57,37,0.0,0.0,0.0
96,2017,UCAYALI,14727955.64,141,0.0,0.0,0.0
97,2018,AMAZONAS,8257895.02,86,0.0,0.0,0.0
98,2018,ANCASH,24141726.97,465,138037.4,5.0,0.0057177931045087945
99,2018,APURIMAC,9483704.98,150,0.0,0.0,0.0
100,2018,AREQUIPA,4610424.64,154,0.0,0.0,0.0
101,2018,AYACUCHO,11101574.3,164,0.0,0.0,0.0
102,2018,CAJAMARCA,118845265.6,708,0.0,0.0,0.0
103,2018,CUSCO,33010263.9,1000,0.0,0.0,0.0
104,2018,HUANCAVELICA,12994422.42,167,16125.0,3.0,0.001240917024151967
105,2018,HUANUCO,12913525.91,56,0.0,0.0,0.0
106,2018,ICA,2151741.46,99,163667.03,7.0,0.07606259071663748
107,2018,JUNIN,1258441.68,88,1800.0,1.0,0.0014303404191126283
108,2018,LA LIBERTAD,16958240.88,205,0.0,0.0,0.0
109,2018,LAMBAYEQUE,6026248.97,147,122093.67,4.0,0.020260309623417367
110,2018,LIMA,8925319.04,220,0.0,0.0,0.0
111,2018,LORETO,18778042.22,191,94241.56,10.0,0.005018710624669157
112,2018,MADRE DE DIOS,997186.14,27,0.0,0.0,0.0
113,2018,MOQUEGUA,4177135.24,214,0.0,0.0,0.0
114,2018,PASCO,2726153.75,29,0.0,0.0,0.0
115,2018,PIURA,20048737.49,303,0.0,0.0,0.0
116,2018,PUNO,44037739.91,196,5500.0,1.0,0.00012489287622935146
117,2018,SAN MARTIN,7596806.11,113,0.0,0.0,0.0
118,2018,TACNA,1760634.29,96,0.0,0.0,0.0
119,2018,TUMBES,1986682.47,42,0.0,0.0,0.0
120,2018,UCAYALI,17935508.9,213,88300.0,4.0,0.004923194568513192
121,2019,AMAZONAS,15983250.06,152,0.0,0.0,0.0
122,2019,ANCASH,15146719.33,320,0.0,0.0,0.0
